Attribute;gender;score;SD;SE
Ort;w;16,46;9,46;1,275
Ort;m;14,26;6,86;1,071
Datenpartikel;w;24,17;11,03;1,488
Datenpartikel;m;24,37;13,5;2,11
Erklärbarkeit;m;18,05;10,13;1,582
Erklärbarkeit;w;14,89;11,37;1,533
Speicherung;m;43,31;17,17;2,682
Speicherung;w;44,48;14,79;1,995
