Attribute;gender;score;SD
Ort;w;16,46;9,46
Ort;m;14,26;6,86
Datenpartikel;w;24,17;11,03
Datenpartikel;m;24,37;13,5
Erklärbarkeit;m;18,05;10,13
Erklärbarkeit;w;14,89;11,37
Speicherung;m;43,31;17,17
Speicherung;w;44,48;14,79
