Attribute;Total;SD;Lower;Upper
Ort;15,52;8,47;13,83;17,22
Datenpartikel;24,25;12,08;21,84;26,67
Erklärbarkeit;16,24;10,91;14,06;18,42
Speicherung;43,98;15,78;40,83;47,14
